Hours_Studied,CGPA,Extracurricular_Activities,Sleep_Hours,Sample_Question_Papers_Practiced,Performance_Index
7,9.9,Yes,9,1,91.0
4,8.2,No,4,2,65.0
8,5.1,Yes,7,2,45.0
5,5.2,Yes,5,2,36.0
7,7.5,No,8,5,66.0
3,7.8,No,9,6,61.0
7,7.3,Yes,5,6,63.0
8,4.5,Yes,4,6,42.0
5,7.7,No,8,2,61.0
4,8.9,No,4,0,69.0
8,9.1,No,4,5,84.0
8,7.9,No,6,2,73.0
3,4.7,No,9,2,27.0
6,4.7,No,4,2,33.0
5,7.9,No,7,8,68.0
2,7.2,No,4,3,43.0
8,7.3,Yes,8,4,67.0
6,8.3,Yes,7,2,70.0
2,5.4,Yes,4,9,30.0
5,7.5,No,7,0,63.0
1,9.9,Yes,4,3,71.0
6,9.6,No,9,0,85.0
9,7.4,Yes,7,6,73.0
1,8.5,No,5,6,57.0
3,6.1,No,6,3,35.0
7,6.2,Yes,7,4,49.0
4,7.9,No,8,9,66.0
9,8.4,Yes,6,6,83.0
3,9.4,Yes,6,5,74.0
5,9.0,Yes,4,3,74.0
3,6.1,Yes,7,3,39.0
7,4.4,Yes,9,1,36.0
5,7.0,Yes,6,9,58.0
9,5.2,Yes,8,1,47.0
7,6.7,Yes,9,3,60.0
2,9.7,Yes,9,4,74.0
4,5.9,No,8,3,42.0
9,7.2,No,8,2,68.0
2,5.5,Yes,4,1,32.0
9,6.8,No,5,3,64.0
5,6.2,No,7,4,45.0
2,6.3,Yes,6,0,39.0
4,7.3,Yes,7,0,58.0
7,4.6,No,9,5,36.0
8,7.7,Yes,6,4,71.0
3,7.6,Yes,4,3,54.0
1,4.3,Yes,7,0,17.0
4,7.3,No,4,6,54.0
2,8.1,Yes,4,3,58.0
8,6.1,No,7,2,53.0
4,4.4,Yes,7,6,27.0
2,8.9,Yes,6,1,65.0
6,8.1,No,9,9,75.0
6,6.2,Yes,9,0,52.0
4,9.3,No,8,3,78.0
6,9.9,No,4,7,91.0
2,5.4,Yes,9,5,33.0
2,7.0,Yes,5,8,47.0
4,9.8,No,6,0,78.0
8,4.8,No,6,0,38.0
7,8.2,Yes,8,4,70.0
9,9.7,Yes,8,5,98.0
8,9.2,Yes,4,7,87.0
5,6.4,Yes,6,2,49.0
2,6.4,Yes,6,5,41.0
5,8.8,No,5,2,71.0
8,6.0,No,4,7,54.0
9,4.8,No,4,3,42.0
9,9.4,No,9,1,91.0
1,8.7,Yes,8,8,61.0
9,7.7,No,9,9,74.0
7,6.1,Yes,4,7,54.0
9,8.2,Yes,5,5,81.0
8,6.2,Yes,4,2,52.0
1,8.8,Yes,9,1,65.0
8,4.3,Yes,7,3,36.0
8,6.8,No,7,3,61.0
3,5.4,Yes,5,0,35.0
1,4.0,Yes,8,8,15.0
8,9.3,Yes,6,9,88.0
3,6.9,No,4,7,45.0
3,6.8,Yes,9,6,49.0
1,5.9,Yes,8,5,33.0
5,7.2,Yes,9,2,60.0
7,8.0,No,8,3,71.0
9,8.3,Yes,4,1,81.0
7,7.5,No,6,6,67.0
9,9.9,No,4,1,95.0
8,6.1,Yes,6,9,58.0
2,5.2,No,9,0,29.0
1,4.6,No,5,5,21.0
7,4.7,Yes,6,3,38.0
7,6.7,Yes,8,7,60.0
8,8.4,Yes,5,0,76.0
5,8.2,Yes,9,8,69.0
3,4.8,No,7,5,30.0
8,6.4,No,5,1,57.0
6,9.5,Yes,6,7,81.0
3,5.5,Yes,5,4,36.0
1,4.9,Yes,9,4,25.0
3,5.0,No,5,4,27.0
5,7.0,Yes,9,6,61.0
3,5.1,No,7,6,34.0
1,9.9,No,6,9,76.0
5,7.0,No,8,6,57.0
7,5.3,No,5,9,45.0
7,9.0,Yes,4,1,76.0
9,8.3,Yes,8,7,83.0
3,7.1,Yes,5,0,50.0
7,8.9,No,8,1,81.0
